case_id,sex,age_band,name_origin,province,region,urbanicity,NAME_PATIENT,NAME_DOCTOR,NAME_DOCTOR_2,NAME_RELATIVE,RELATIVE_RELATION,AGE,GENDER,DATE_ENCOUNTER,DATE_VALIDATION,DATE_HISTORY,DOB,INSZ,RIZIV,IBAN,CREDITCARDNUMBER,STREET,ZIPCODE,CITY,TELEFOON,TELEFOON_MOBILE,EMAIL,URL,ORGANIZATION,SPECIALTY,DIAGNOSIS,DX_EPONYM,DX_TEST,DX_ANATOMY,DX_DRUG,DX_DRUG_2,DX_HOMOGRAPH,DX_NUMERIC,DX_ABBREV,DX_CODESWITCH,noise_ops,ambiguous_surname,PATIENT_NOUN_GENERIC,PATIENT_NOUN_MARKED,HONORIFIC,PRONOUN_SUBJ,PRONOUN_POSS,fmt
CASE000000,M,50-64,turkish,Antwerpen,Vlaanderen,rural,Serkan Aydin,dr. Els Peeters,dr. Rik Van Acker,Cem Sahin,Broer,50-jarige,man,21/04/2026,22/04/2026,05-09-2016,°5 feb 1976,76.02.05-433.57,4-56778-92-008,BE20 2368 9098 0656,4534192832764833,Abdijdreef 48 bus 12,2860,Sint-Katelijne-Waver,+32 4 959 31 03,0472 29 12 48,serkan.aydin@proximus.be,https://www.uzdamiaan.be,UZ Damiaan,Reumatologie,reumatoide artritis,ziekte van Dupuytren,Snellen 1,M. Supraspinatus,Atorstatine 20 mg,Ozempic 1 mg,as 165 graden,22u,SSp,blurr-test,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000001,F,50-64,flemish,Oost-Vlaanderen,Vlaanderen,urban,Nele Declercq,dr. Lieve Goossens,dr. Deniz Korkmaz,Wim Verhoeven,Broer,61 jaar,vrouw,23/05/2026,2026-05-23,2016-03-09,°12/07/1964,64071216493,9 30555 63 030,BE81071281034036,4932528809570158,Smidberg 240,9000,Gent,013-46 27 04,+32 (0)498/22.64.13,nele.declercq@proximus.be,https://www.imeldaziekenhuis.be,Imeldaziekenhuis,Orthopedie,gonartrose bilateraal,syndroom van Sjogren,Snellen 1,M. Supraspinatus,Cose protect,D-cure 25 000 ie,geel verkleurde sclerae,pH 7.38,nle,shared decision making,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'plain', 'RIZIV': 'spaced', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'yyyy-mm-dd', 'DOB': 'degree', 'TELEFOON': 'dashed', 'TELEFOON_MOBILE': 'intl_paren', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000002,M,65-79,flemish,West-Vlaanderen,Vlaanderen,town,Bart Van Acker,dr. Kris De Smet,dr. Femke Verhoeven,Tom Maes,Broer,77-jarige,man,27-05-2026,2026-05-29,24 aug 2019,°14/07/1948,48071407379,8-42225-26-003,BE18 0739 9774 1524,4513338726247311,Molenvest 37,8900,Ieper,055/31.16.56,0497-06 86 83,bart.vanacker@gmail.com,https://www.azklina.be,AZ Klina,Algemene Heelkunde,ziekte van Von Willebrand,ziekte van Dupuytren,Glasgow Coma Scale 15,m. Infraspinatus,Atorstatine 20 mg,Ibuprofen 400 mg,beers-teken afwezig,1/d,SSp,shared decision making,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'dashed', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000003,F,18-34,flemish,Vlaams-Brabant,Vlaanderen,town,Ann Van den Berghe,dr. Hilde Vermeulen,dr. Khadija Cherkaoui,Els Dubois,Moeder,33-jarige,vrouw,25-05-2026,27/05/2026,03/07/2020,°12-11-1992,92.11.12-984.83,6 32496 41 004,BE72 2055 1995 1312,4838425135427846,Oudesteenweg 121,1700,Dilbeek,04/353.46.24,0498090158,ann.vandenberghe@telenet.be,https://www.algemeenziekenhuissintjozef.be,Algemeen Ziekenhuis Sint-Jozef,Gastro-enterologie,ferriprieve anaemie,ziekte van Hashimoto,Glasgow Coma Scale 15,m. Deltoideus,Paracetamol 1 g,Glucagen hypokit,peervormige galblaas,22u,ESWT,Painful arc beiderzijds +,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'plain', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000004,M,18-34,flemish,Antwerpen,Vlaanderen,urban,Stijn Wouters,dr. Giuseppe Garcia,dr. Patrick Tshibangu,Marleen Willems,Nicht,27 jaar,man,2026-04-23,25 april 2026,19 dec 2020,°11/12/1998,98.12.11-905.34,8-24586-11-006,BE56040997998139,4160733754330367,Vissersweg 221,2800,Mechelen,09 923 22 60,+32 483 52 85 94,stijn.wouters@proximus.be,https://www.azsintvincentius.be,AZ Sint-Vincentius,Reumatologie,reumatoide artritis,syndroom van Raynaud,Humphrey - perimetrie,m. Deltoideus,Progor retard 180 mg,Ibuprofen 400 mg,beers-teken afwezig,2cc,z.n.,SSp testen positief,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'yyyy-mm-dd', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'intl', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000005,F,18-34,flemish,Vlaams-Brabant,Vlaanderen,town,Griet Lambert,dr. Leila Bennani,dr. Miroslav Marinescu,Tine Peeters,Moeder,26-jarige,vrouw,24-04-2026,26/04/2026,2017-09-12,°2000-01-20,00012044261,1-73372-64-018,BE68 3462 7381 5783,4214895134332003,Kortelei 159 bus 17,1500,Halle,+32 4 680 44 36,0492/83.41.59,griet.lambert@skynet.be,https://www.uzonzelievevrouw.be,UZ Onze-Lieve-Vrouw,Gynaecologie,endometriose,syndroom van Guillain-Barre,Barthel-index 90,m. Infraspinatus,Pantomed 40 mg,Depakine chrono 500 mg,boomstructuur van de bronchi,T 37.2,antec.,full range of motion,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'yyyy-mm-dd', 'DOB': 'degree', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000006,M,18-34,southern_european,West-Vlaanderen,Vlaanderen,rural,Salvatore Costa,dr. Dirk De Clercq,dr. Veerle De Clercq,Miguel Costa,Neef,18-jarige,man,18-05-2026,20 mei 2026,03/03/2016,°08-04-2008,08.04.08-861.94,76863689008,BE31 8579 8763 6625,4054668893734674,Gaverbaan 141 bus 19,8600,Diksmuide,03 166 58 76,0456534998,salvatore.costa@telenet.be,https://www.ziekenhuisnikolaas.be,Ziekenhuis Nikolaas,Reumatologie,reumatoide artritis,ziekte van Bechterew,teken van Tinel,A. Radialis,Toujeo solostar,Pantomed 40 mg,peervormige galblaas,-0.25 ^ -0.25 as 165 graden,z.n.,Painful arc beiderzijds +,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'plain', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000007,F,50-64,flemish,West-Vlaanderen,Vlaanderen,rural,Lieve Willems,dr. Veerle Claes,dr. Nele Wouters,Marleen Maes,Tante,60-jarige,vrouw,27-05-2026,29/05/2026,10/2019,°18/07/1965,65 07 18 230 62,78172595004,BE65 0457 4893 7891,4491905865185068,Dorpbaan 103 bus 8,8600,Diksmuide,+32 2 241 90 49,0485 50 91 25,lieve.willems@gmail.com,https://www.azdelta.be,AZ Delta,Nefrologie,chronische nierinsufficientie stadium 3,ziekte van Crohn,Phalen-test,N. Medianus,Ibuprofen 400 mg,Pantomed 40 mg,peervormige galblaas,3x,NSAID,watchful waiting,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'spaced', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'm/yyyy', 'DOB': 'degree', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000008,M,65-79,central_african,West-Vlaanderen,Vlaanderen,town,Blaise Bope,dr. Luc Wouters,dr. Angelo Moreira,Sylvie Mbala,Tante,74-jarige,man,2026-05-08,8/5/2026,2/5/2020,°1951-09-14,51.09.14-265.61,45687196008,BE08 6566 1597 4502,4313518233749899,Bloemstraat 98,8900,Ieper,03/634.95.78,0486/95.70.42,blaise.bope@proximus.be,https://www.azalma.be,AZ Alma,Nefrologie,chronische nierinsufficientie stadium 3,ziekte van Crohn,Goldmann applanatie,m. Deltoideus,L-thyroxine 50 mcg,Progor retard 180 mg,peervormige galblaas,BD: 146/68,RYGB,watchful waiting,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'yyyy-mm-dd', 'DATE_VALIDATION': 'd/m/yyyy', 'DATE_HISTORY': 'd/m/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000009,F,35-49,flemish,Antwerpen,Vlaanderen,town,Lore Peeters,dr. Lore De Clercq,dr. Stijn Van Damme,Geert Van Damme,Vader,35-jarige,vrouw,22/04/2026,24.04.2026,23-01-2018,°14/06/1990,90 06 14 972 55,4-18594-58-004,BE66274851785492,4344713493618321,Kortehof 116,2200,Herentals,013 33 41 23,0472/20.00.52,lore.peeters@proximus.be,https://www.azklina.be,AZ Klina,Gastro-enterologie,status na gastric bypass (RYGB),ziekte van Parkinson,Humphrey - perimetrie,M. Biceps caput longum,Toujeo solostar,Nexiam 20 mg,hamstringletsel links,25 000 ie,ESWT,full range of motion,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'spaced', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd.mm.yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jarige'}"
